#: table_doi: 10.17182/hepdata.83737.v1/t200
#: name: Table 201
#: description: $c_2\{2\}$ for Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV as a function of centrality.
#: data_file: c22_502TeV.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: c22
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CHARGED X
#: SQRT(S)/NUCLEON [GEV],,,5020
#: ABS(ETA),,,< 0.8 (LAB)
#: PT,,,0.2 - 3.0 GEV
Centrality,Centrality LOW,Centrality HIGH,c22,stat +,stat -,sys +,sys -
0.5,0,1,0.000690751,1.196121e-06,-1.196121e-06,0.0001572868,-0.0001572868
1.5,1,2,0.0008259007,1.346081e-06,-1.346081e-06,0.0001572868,-0.0001572868
2.5,2,3,0.001007385,1.53547e-06,-1.53547e-06,0.0001572868,-0.0001572868
3.5,3,4,0.001223518,1.749198e-06,-1.749198e-06,0.0001540632,-0.0001540632
4.5,4,5,0.00147354,1.978948e-06,-1.978948e-06,0.0001508396,-0.0001508396
5.5,5,6,0.001739888,2.215395e-06,-2.215395e-06,0.0001476161,-0.0001476161
6.5,6,7,0.002019177,2.444084e-06,-2.444084e-06,0.0001443925,-0.0001443925
7.5,7,8,0.002315672,2.693641e-06,-2.693641e-06,0.0001411689,-0.0001411689
8.5,8,9,0.00261301,2.932917e-06,-2.932917e-06,0.0001441842,-0.0001441842
9.5,9,10,0.002924398,3.17583e-06,-3.17583e-06,0.0001471996,-0.0001471996
10.5,10,11,0.003234958,3.417542e-06,-3.417542e-06,0.0001502149,-0.0001502149
11.5,11,12,0.003562519,3.674916e-06,-3.674916e-06,0.0001532302,-0.0001532302
12.5,12,13,0.003884568,3.925364e-06,-3.925364e-06,0.0001562456,-0.0001562456
13.5,13,14,0.004193351,4.163343e-06,-4.163343e-06,0.0001610195,-0.0001610195
14.5,14,15,0.004516769,4.413088e-06,-4.413088e-06,0.0001657935,-0.0001657935
15.5,15,16,0.00483576,4.65549e-06,-4.65549e-06,0.0001705674,-0.0001705674
16.5,16,17,0.0051452,4.896449e-06,-4.896449e-06,0.0001753414,-0.0001753414
17.5,17,18,0.005471009,5.157026e-06,-5.157026e-06,0.0001801153,-0.0001801153
18.5,18,19,0.005775414,5.399177e-06,-5.399177e-06,0.0001837865,-0.0001837865
19.5,19,20,0.006076189,5.64174e-06,-5.64174e-06,0.0001874577,-0.0001874577
20.5,20,21,0.006380914,5.89169e-06,-5.89169e-06,0.0001911289,-0.0001911289
21.5,21,22,0.006676819,6.144584e-06,-6.144584e-06,0.0001948001,-0.0001948001
22.5,22,23,0.00697172,6.383154e-06,-6.383154e-06,0.0001984713,-0.0001984713
23.5,23,24,0.007261881,6.648354e-06,-6.648354e-06,0.0002003037,-0.0002003037
