#: table_doi: 10.17182/hepdata.83737.v1/t204
#: name: Table 205
#: description: $c_2\{2\}$ for Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV as a function of centrality.
#: data_file: c22_276TeV.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: c22
#: keyword cmenergies: 2760.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CHARGED X
#: SQRT(S)/NUCLEON [GEV],,,2760
#: ABS(ETA),,,< 0.8 (LAB)
#: PT,,,0.2 - 3.0 GEV
Centrality,Centrality LOW,Centrality HIGH,c22,stat +,stat -,sys +,sys -
0.5,0,1,0.0005336533,2.555589e-06,-2.555589e-06,4.129182e-05,-4.129182e-05
1.5,1,2,0.0006670636,2.936418e-06,-2.936418e-06,4.129182e-05,-4.129182e-05
2.5,2,3,0.0008460678,3.405181e-06,-3.405181e-06,4.129182e-05,-4.129182e-05
3.5,3,4,0.00106005,3.955549e-06,-3.955549e-06,4.338577e-05,-4.338577e-05
4.5,4,5,0.001286062,4.443872e-06,-4.443872e-06,4.547971e-05,-4.547971e-05
5.5,5,6,0.001559908,5.042242e-06,-5.042242e-06,4.757365e-05,-4.757365e-05
6.5,6,7,0.001823611,5.627002e-06,-5.627002e-06,4.96676e-05,-4.96676e-05
7.5,7,8,0.002113801,6.208067e-06,-6.208067e-06,5.176154e-05,-5.176154e-05
8.5,8,9,0.002397899,6.720507e-06,-6.720507e-06,5.235446e-05,-5.235446e-05
9.5,9,10,0.00268345,7.369348e-06,-7.369348e-06,5.294738e-05,-5.294738e-05
10.5,10,11,0.002998084,7.956205e-06,-7.956205e-06,5.354029e-05,-5.354029e-05
11.5,11,12,0.003293053,8.496821e-06,-8.496821e-06,5.413321e-05,-5.413321e-05
12.5,12,13,0.003620367,9.119688e-06,-9.119688e-06,5.472613e-05,-5.472613e-05
13.5,13,14,0.003920629,9.654986e-06,-9.654986e-06,5.493136e-05,-5.493136e-05
14.5,14,15,0.004227677,1.028363e-05,-1.028363e-05,5.513658e-05,-5.513658e-05
