#: table_doi: 10.17182/hepdata.83737.v1/t205
#: name: Table 206
#: description: $c_2\{4\}$ for Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV as a function of centrality.
#: data_file: c24_276TeV.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: c24
#: keyword cmenergies: 2760.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CHARGED X
#: SQRT(S)/NUCLEON [GEV],,,2760
#: ABS(ETA),,,< 0.8 (LAB)
#: PT,,,0.2 - 3.0 GEV
Centrality,Centrality LOW,Centrality HIGH,c24,stat +,stat -,sys +,sys -
0.5,0,1,3.298604e-09,5.413364e-09,-5.413364e-09,1.442829e-08,-1.442829e-08
1.5,1,2,-9.852699e-09,7.098305e-09,-7.098305e-09,1.442829e-08,-1.442829e-08
2.5,2,3,-4.084016e-08,9.26303e-09,-9.26303e-09,1.442829e-08,-1.442829e-08
3.5,3,4,-1.379636e-07,1.258724e-08,-1.258724e-08,2.71758e-08,-2.71758e-08
4.5,4,5,-2.867225e-07,1.603639e-08,-1.603639e-08,3.992331e-08,-3.992331e-08
5.5,5,6,-5.355935e-07,1.994511e-08,-1.994511e-08,5.267082e-08,-5.267082e-08
6.5,6,7,-9.274879e-07,2.537344e-08,-2.537344e-08,6.541833e-08,-6.541833e-08
7.5,7,8,-1.488356e-06,2.946095e-08,-2.946095e-08,7.816585e-08,-7.816585e-08
8.5,8,9,-2.047382e-06,3.545779e-08,-3.545779e-08,1.010491e-07,-1.010491e-07
9.5,9,10,-2.826175e-06,4.248172e-08,-4.248172e-08,1.239324e-07,-1.239324e-07
10.5,10,11,-3.697461e-06,5.031973e-08,-5.031973e-08,1.468157e-07,-1.468157e-07
11.5,11,12,-4.78147e-06,5.782947e-08,-5.782947e-08,1.69699e-07,-1.69699e-07
12.5,12,13,-5.975109e-06,6.684267e-08,-6.684267e-08,1.925823e-07,-1.925823e-07
13.5,13,14,-7.192268e-06,7.636032e-08,-7.636032e-08,2.346284e-07,-2.346284e-07
14.5,14,15,-8.795949e-06,8.5939e-08,-8.5939e-08,2.766746e-07,-2.766746e-07
15.5,15,16,-1.029419e-05,9.810249e-08,-9.810249e-08,3.187207e-07,-3.187207e-07
16.5,16,17,-1.1685e-05,1.092653e-07,-1.092653e-07,3.607668e-07,-3.607668e-07
17.5,17,18,-1.362794e-05,1.228994e-07,-1.228994e-07,4.02813e-07,-4.02813e-07
18.5,18,19,-1.50191e-05,1.37001e-07,-1.37001e-07,4.582832e-07,-4.582832e-07
19.5,19,20,-1.698537e-05,1.507188e-07,-1.507188e-07,5.137535e-07,-5.137535e-07
20.5,20,21,-1.894935e-05,1.609068e-07,-1.609068e-07,5.692237e-07,-5.692237e-07
21.5,21,22,-2.119948e-05,1.809951e-07,-1.809951e-07,6.246939e-07,-6.246939e-07
22.5,22,23,-2.295397e-05,1.92445e-07,-1.92445e-07,6.801642e-07,-6.801642e-07
23.5,23,24,-2.480342e-05,2.078662e-07,-2.078662e-07,7.407011e-07,-7.407011e-07
24.5,24,25,-2.696035e-05,2.240742e-07,-2.240742e-07,8.01238e-07,-8.01238e-07
25.5,25,26,-2.869145e-05,2.403009e-07,-2.403009e-07,8.61775e-07,-8.61775e-07
26.5,26,27,-3.101122e-05,2.624984e-07,-2.624984e-07,9.223119e-07,-9.223119e-07
27.5,27,28,-3.206651e-05,2.713349e-07,-2.713349e-07,9.828488e-07,-9.828488e-07
28.5,28,29,-3.470947e-05,2.920073e-07,-2.920073e-07,1.089725e-06,-1.089725e-06
29.5,29,30,-3.580681e-05,3.106709e-07,-3.106709e-07,1.196601e-06,-1.196601e-06
30.5,30,31,-3.813515e-05,3.292555e-07,-3.292555e-07,1.303477e-06,-1.303477e-06
31.5,31,32,-3.978173e-05,3.543646e-07,-3.543646e-07,1.410353e-06,-1.410353e-06
32.5,32,33,-4.082779e-05,3.739275e-07,-3.739275e-07,1.517229e-06,-1.517229e-06
33.5,33,34,-4.284279e-05,3.981768e-07,-3.981768e-07,1.595314e-06,-1.595314e-06
34.5,34,35,-4.391345e-05,4.12706e-07,-4.12706e-07,1.673399e-06,-1.673399e-06
35.5,35,36,-4.464725e-05,4.421798e-07,-4.421798e-07,1.751484e-06,-1.751484e-06
36.5,36,37,-4.645155e-05,4.655794e-07,-4.655794e-07,1.82957e-06,-1.82957e-06
37.5,37,38,-4.6765e-05,4.880823e-07,-4.880823e-07,1.907655e-06,-1.907655e-06
38.5,38,39,-4.723728e-05,5.220144e-07,-5.220144e-07,2.024131e-06,-2.024131e-06
39.5,39,40,-4.793763e-05,5.226291e-07,-5.226291e-07,2.140607e-06,-2.140607e-06
40.5,40,41,-4.701005e-05,5.618584e-07,-5.618584e-07,2.257083e-06,-2.257083e-06
41.5,41,42,-4.766308e-05,5.902892e-07,-5.902892e-07,2.373559e-06,-2.373559e-06
42.5,42,43,-4.75309e-05,6.244815e-07,-6.244815e-07,2.490036e-06,-2.490036e-06
43.5,43,44,-4.861754e-05,6.550525e-07,-6.550525e-07,2.408967e-06,-2.408967e-06
44.5,44,45,-4.655315e-05,6.795977e-07,-6.795977e-07,2.327898e-06,-2.327898e-06
45.5,45,46,-4.688429e-05,7.160559e-07,-7.160559e-07,2.246829e-06,-2.246829e-06
46.5,46,47,-4.634685e-05,7.371489e-07,-7.371489e-07,2.16576e-06,-2.16576e-06
47.5,47,48,-4.649986e-05,7.977927e-07,-7.977927e-07,2.084691e-06,-2.084691e-06
48.5,48,49,-4.384527e-05,8.228074e-07,-8.228074e-07,2.24917e-06,-2.24917e-06
49.5,49,50,-4.512681e-05,8.845036e-07,-8.845036e-07,2.413649e-06,-2.413649e-06
50.5,50,51,-4.239611e-05,9.280046e-07,-9.280046e-07,2.495889e-06,-2.495889e-06
51.5,51,52,-4.105044e-05,9.730202e-07,-9.730202e-07,2.495889e-06,-2.495889e-06
52.5,52,53,-3.980486e-05,1.028878e-06,-1.028878e-06,2.495889e-06,-2.495889e-06
53.5,53,54,-4.096024e-05,1.090246e-06,-1.090246e-06,2.495889e-06,-2.495889e-06
54.5,54,55,-3.601388e-05,1.182244e-06,-1.182244e-06,2.495889e-06,-2.495889e-06
55.5,55,56,-3.540678e-05,1.249596e-06,-1.249596e-06,2.495889e-06,-2.495889e-06
56.5,56,57,-3.412105e-05,1.324233e-06,-1.324233e-06,2.495889e-06,-2.495889e-06
57.5,57,58,-3.204068e-05,1.407302e-06,-1.407302e-06,2.495889e-06,-2.495889e-06
58.5,58,59,-3.011464e-05,1.510296e-06,-1.510296e-06,2.495889e-06,-2.495889e-06
59.5,59,60,-2.979426e-05,1.623057e-06,-1.623057e-06,2.495889e-06,-2.495889e-06
60.5,60,61,-2.701853e-05,1.745479e-06,-1.745479e-06,2.495889e-06,-2.495889e-06
61.5,61,62,-2.659628e-05,1.920524e-06,-1.920524e-06,2.495889e-06,-2.495889e-06
62.5,62,63,-2.582698e-05,2.119697e-06,-2.119697e-06,2.495889e-06,-2.495889e-06
63.5,63,64,-1.85974e-05,2.410137e-06,-2.410137e-06,2.495889e-06,-2.495889e-06
64.5,64,65,-2.144055e-05,2.538238e-06,-2.538238e-06,2.495889e-06,-2.495889e-06
65.5,65,66,-1.978493e-05,2.931021e-06,-2.931021e-06,2.495889e-06,-2.495889e-06
66.5,66,67,-1.798358e-05,3.264404e-06,-3.264404e-06,2.495889e-06,-2.495889e-06
67.5,67,68,-1.630406e-05,3.867352e-06,-3.867352e-06,2.495889e-06,-2.495889e-06
68.5,68,69,-1.589765e-05,4.103732e-06,-4.103732e-06,2.495889e-06,-2.495889e-06
69.5,69,70,-1.703321e-05,4.742369e-06,-4.742369e-06,2.495889e-06,-2.495889e-06

