#: table_doi: 10.17182/hepdata.89325.v1/t22
#: name: Figure4_Panel2_pt0
#: description: nc_3{4}, standard, 0.5<pT<5.0 GeV
#: data_file: figure4_panel2_pt0.yaml
Centrality,nc_3{4},stat. uncertainty +,stat. uncertainty -,syst. uncertainty +,syst. uncertainty -
1.0058,-0.0079022,0.0025436,-0.0025436,0.00050871,-0.00050871
3.0,-0.013578,0.0029472,-0.0029472,0.0008024,-0.00060398
5.0,-0.027152,0.0023136,-0.0023136,0.0016046,-0.0012078
7.0,-0.029806,0.002417,-0.002417,0.0016859,-0.0012235
9.0,-0.026236,0.0029175,-0.0029175,0.0014176,-0.00098688
11.0,-0.03125,0.0025935,-0.0025935,0.0016093,-0.0010682
13.0,-0.034575,0.0027589,-0.0027589,0.001693,-0.0010631
15.0,-0.031823,0.0025951,-0.0025951,0.0014777,-0.0008692
17.0,-0.035482,0.0020083,-0.0020083,0.0014714,-0.00086104
19.0,-0.039228,0.003603,-0.003603,0.001432,-0.00083245
21.0,-0.04328,0.00197,-0.00197,0.0013651,-0.00078662
23.0,-0.039331,0.0031982,-0.0031982,0.0010453,-0.00063963
25.0,-0.046025,0.0024111,-0.0024111,0.00099475,-0.00055608
27.0,-0.043698,0.003165,-0.003165,0.0010192,-0.00063301
29.0,-0.049197,0.0037114,-0.0037114,0.0012316,-0.00077601
31.0,-0.04782,0.003679,-0.003679,0.0012789,-0.00084254
33.0,-0.053952,0.0034017,-0.0034017,0.0015352,-0.0010502
35.0,-0.053278,0.0029972,-0.0029972,0.0016071,-0.0011354
37.0,-0.068096,0.0044493,-0.0044493,0.0021059,-0.0013858
39.0,-0.060078,0.0037196,-0.0037196,0.0019037,-0.0011649
41.0,-0.069453,0.0055174,-0.0055174,0.0022537,-0.00128
43.0,-0.06829,0.0048801,-0.0048801,0.0022679,-0.001193
45.0,-0.072844,0.0053808,-0.0053808,0.0024747,-0.0012027
47.0,-0.069349,0.0071957,-0.0071957,0.0030688,-0.0019649
49.0,-0.074229,0.010706,-0.010706,0.0040479,-0.0029808
51.0,-0.080693,0.010089,-0.010089,0.0052299,-0.0041944
53.0,-0.057419,0.013651,-0.013651,0.0043118,-0.0036635
55.0,-0.047652,0.014393,-0.014393,0.0040682,-0.0036038
57.0,-0.064568,0.022644,-0.022644,0.0056747,-0.0056741
59.0,-0.031931,0.033808,-0.033808,0.0067616,-0.0067616

