#: table_doi: 10.17182/hepdata.83737.v1/t9
#: name: Table 9
#: description: $v_3\{2,|\Delta\eta| > 1.\}$ as a function of centrality for Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV.
#: data_file: v32Deta1_276TeV.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: v32Deta1
#: keyword cmenergies: 2760.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CHARGED X
#: SQRT(S)/NUCLEON [GEV],,,2760
#: ABS(ETA),,,< 0.8 (LAB)
#: PT,,,0.2 - 3.0 GEV
Centrality,Centrality LOW,Centrality HIGH,v32Deta1,stat +,stat -,sys +,sys -
1.0,0,2,0.01846079,0.0001048776,-0.0001048776,0.0005971256,-0.0005971256
3.0,2,4,0.02028628,0.0001061915,-0.0001061915,0.0006858294,-0.0006858294
5.0,4,6,0.02147664,0.0001086673,-0.0001086673,0.000561829,-0.000561829
7.0,6,8,0.02238364,0.0001138069,-0.0001138069,0.0005879631,-0.0005879631
9.0,8,10,0.02346461,0.0001172972,-0.0001172972,0.0005433591,-0.0005433591
11.0,10,12,0.02450994,0.0001217437,-0.0001217437,0.0005736991,-0.0005736991
13.0,12,14,0.02486909,0.0001284876,-0.0001284876,0.0006066069,-0.0006066069
15.0,14,16,0.02574612,0.0001353796,-0.0001353796,0.0006555404,-0.0006555404
17.0,16,18,0.02636396,0.0001427389,-0.0001427389,0.0004924088,-0.0004924088
19.0,18,20,0.02704751,0.0001506465,-0.0001506465,0.0006236597,-0.0006236597
21.0,20,22,0.02749096,0.0001578036,-0.0001578036,0.0005159559,-0.0005159559
23.0,22,24,0.02748483,0.0001719883,-0.0001719883,0.0007704599,-0.0007704599
25.0,24,26,0.02839955,0.0001782885,-0.0001782885,0.0006125812,-0.0006125812
27.0,26,28,0.02858504,0.0001917665,-0.0001917665,0.000803378,-0.000803378
29.0,28,30,0.02919904,0.0002036061,-0.0002036061,0.000734545,-0.000734545
31.0,30,32,0.02899761,0.0002218684,-0.0002218684,0.0007965444,-0.0007965444
33.0,32,34,0.02929481,0.0002400984,-0.0002400984,0.001049815,-0.001049815
35.0,34,36,0.02975631,0.0002551431,-0.0002551431,0.0006621632,-0.0006621632
37.0,36,38,0.03019509,0.0002770509,-0.0002770509,0.0009054942,-0.0009054942
39.0,38,40,0.02960253,0.0003085894,-0.0003085894,0.001045601,-0.001045601
41.0,40,42,0.029604,0.0003397925,-0.0003397925,0.0009199598,-0.0009199598
43.0,42,44,0.02916611,0.0003799718,-0.0003799718,0.0009565329,-0.0009565329
45.0,44,46,0.03032374,0.000402973,-0.000402973,0.001006178,-0.001006178
47.0,46,48,0.02903145,0.0004680702,-0.0004680702,0.0009126162,-0.0009126162
49.0,48,50,0.02879343,0.0005286865,-0.0005286865,0.0009665402,-0.0009665402
51.0,50,52,0.02892778,0.0005870458,-0.0005870458,0.000919139,-0.000919139
53.0,52,54,0.02797533,0.0006867673,-0.0006867673,0.001050227,-0.001050227
55.0,54,56,0.02536747,0.000865366,-0.000865366,0.0009744968,-0.0009744968
57.0,56,58,0.02688502,0.0009127748,-0.0009127748,0.001058759,-0.001058759
59.0,58,60,0.02527383,0.001116987,-0.001116987,0.0009673207,-0.0009673207
62.5,60,65,0.02344754,0.001029532,-0.001029532,0.001060841,-0.001060841
67.5,65,70,0.02037207,0.002040184,-0.002040184,0.0009081911,-0.0009081911

