#: table_doi: 10.17182/hepdata.89325.v1/t26
#: name: Figure4_Panel3_pt0
#: description: nc_4{4}, standard, 0.5<pT<5.0 GeV
#: data_file: figure4_panel3_pt0.yaml
Centrality,nc_4{4},stat. uncertainty +,stat. uncertainty -,syst. uncertainty +,syst. uncertainty -
1.0058,-0.030583,0.0062516,-0.0062516,0.0042566,-0.001266
3.0,-0.05148,0.0096554,-0.0096554,0.0071649,-0.002131
5.0,-0.076028,0.0074158,-0.0074158,0.010582,-0.0031472
7.0,-0.064817,0.0088305,-0.0088305,0.0079559,-0.0025766
9.0,-0.059827,0.0067312,-0.0067312,0.0063602,-0.0022799
11.0,-0.066738,0.0090927,-0.0090927,0.0059979,-0.0024335
13.0,-0.061278,0.0056361,-0.0056361,0.0045002,-0.0021337
15.0,-0.054785,0.0064744,-0.0064744,0.0031229,-0.0018175
17.0,-0.051775,0.010772,-0.010772,0.0043425,-0.002369
19.0,-0.031562,0.010711,-0.010711,0.0034951,-0.0021422
21.0,-0.026038,0.010479,-0.010479,0.003583,-0.0020958
23.0,-0.0083659,0.0101,-0.0101,0.00202,-0.00202
25.0,0.0055178,0.010707,-0.010707,0.0021414,-0.0021414
27.0,0.036827,0.0077493,-0.0077493,0.0061755,-0.0031707
29.0,0.078295,0.014255,-0.014255,0.011277,-0.0059602
31.0,0.094836,0.014591,-0.014591,0.011416,-0.0062737
33.0,0.12199,0.012019,-0.012019,0.011799,-0.0068536
35.0,0.15417,0.016617,-0.016617,0.011264,-0.0071241
37.0,0.1968,0.016386,-0.016386,0.01376,-0.008723
39.0,0.26499,0.017662,-0.017662,0.017693,-0.011246
41.0,0.26677,0.023318,-0.023318,0.016973,-0.010818
43.0,0.36168,0.033292,-0.033292,0.021874,-0.013986
45.0,0.41361,0.039011,-0.039011,0.023714,-0.015215
47.0,0.44501,0.027495,-0.027495,0.030175,-0.016613
49.0,0.57425,0.041881,-0.041881,0.044952,-0.021752
51.0,0.58601,0.062374,-0.062374,0.05201,-0.022518
53.0,0.58648,0.081119,-0.081119,0.058194,-0.022857
55.0,0.70351,0.14467,-0.14467,0.077174,-0.028933
57.0,1.0072,0.15043,-0.15043,0.089877,-0.075467
59.0,1.2097,0.24402,-0.24402,0.083202,-0.13348

